Player1_Strategy,Player2_Strategy,Player1_Score,Player2_Score,Winner,Moves,Time_Seconds
A3C,Random,18,30,Player2,20,9.578
A3C,Random,17,31,Player2,34,11.621
A3C,Random,21,27,Player2,44,12.111
A3C,Random,21,27,Player2,19,6.556
A3C,Random,26,22,Player1,58,17.868
A3C,Random,23,25,Player2,35,9.853
A3C,Random,32,16,Player1,41,14.705
A3C,Random,16,32,Player2,44,14.588
A3C,Random,35,13,Player1,39,12.139
A3C,Random,30,18,Player1,39,10.645
A3C,Random,26,22,Player1,33,9.852
A3C,Random,39,9,Player1,19,6.052
A3C,Random,29,19,Player1,46,14.476
A3C,Random,20,28,Player2,52,14.454
A3C,Random,31,17,Player1,31,9.26
A3C,Random,25,23,Player1,43,13.023
A3C,Random,41,7,Player1,29,8.867
A3C,Random,33,15,Player1,28,8.194
A3C,Random,21,27,Player2,46,17.872
A3C,Random,26,22,Player1,53,17.086
A3C,Random,27,21,Player1,34,9.868
A3C,Random,26,22,Player1,23,6.537
A3C,Random,24,24,Draw,41,12.421
A3C,Random,14,34,Player2,30,7.945
A3C,Random,21,27,Player2,59,21.561
A3C,Random,15,33,Player2,27,7.332
A3C,Random,19,29,Player2,36,10.914
A3C,Random,23,25,Player2,36,10.875
A3C,Random,29,19,Player1,31,9.254
A3C,Random,21,27,Player2,47,13.537
Random,A3C,22,26,Player2,35,14.261
Random,A3C,20,28,Player2,32,10.372
Random,A3C,18,30,Player2,45,13.592
Random,A3C,16,32,Player2,54,15.166
Random,A3C,17,31,Player2,36,9.307
Random,A3C,24,24,Draw,33,10.85
Random,A3C,23,25,Player2,29,11.886
Random,A3C,16,32,Player2,38,12.508
Random,A3C,28,20,Player1,26,8.314
Random,A3C,31,17,Player1,31,10.313
Random,A3C,17,31,Player2,50,14.151
Random,A3C,24,24,Draw,60,17.375
A3C,Random,22,26,Player2,34,13.621
A3C,Random,22,26,Player2,51,17.557
A3C,Random,29,19,Player1,45,13.6
A3C,Random,17,31,Player2,31,8.099
A3C,Random,17,31,Player2,25,7.634
A3C,Random,29,19,Player1,54,16.391
Random,A3C,26,22,Player1,42,15.929
Random,A3C,16,32,Player2,53,16.403
Random,A3C,33,15,Player1,28,7.03
Random,A3C,19,29,Player2,43,13.127
